speaker,utterance,clean
Selinay,en toen stonden er allemaal politie mochten we niet naar binnen [ ],en toen stonden er allemaal politie mochten we niet naar binnen
Selinay,nee maar ik [ ],nee maar ik
Selinay,ohja wij dachten dat king charles erin zat [ ],ohja wij dachten dat king charles erin zat
Selinay,((laughs)),
Selinay,maar het was echt druk =,maar het was echt druk
Selinay,[ ] ik zei steeds tegen elmas vraag wat er is vraag wat er is,ik zei steeds tegen elmas vraag wat er is vraag wat er is
Selinay,nee nee daarna we vroegen uiteindelijk was er een bom ofzo =,nee nee daarna we vroegen uiteindelijk was er een bom ofzo
Selinay,((laughs)),
Selinay,ik was echt bang he,ik was echt bang he
Selinay,toen gingen we ook gelijk weg volgens mij,toen gingen we ook gelijk weg volgens mij
Selinay,moesten we vroeg naar hotel omdat je buikpijn had,moesten we vroeg naar hotel omdat je buikpijn had
Selinay,oke maar wist je nog die ene keer ook in de winter dat we naar oberhausen (.),oke maar wist je nog die ene keer ook in de winter dat we naar oberhausen
Selinay,kerstmarkt gingen,kerstmarkt gingen
Selinay,ohja tweede keer ja,ohja tweede keer ja
Selinay,maar toen uhm (1.0),maar toen uhm
Selinay,wat gebeurde er ohja,wat gebeurde er ohja
Selinay, we hadden onze vaccinaties gewoon maar we hadden nog niet ons bewijs gekregen maar we hadden wel gewoon gevaccineerd,we hadden onze vaccinaties gewoon maar we hadden nog niet ons bewijs gekregen maar we hadden wel gewoon gevaccineerd
Selinay,maar wij hadden hem gewoon nog niet [ ],maar wij hadden hem gewoon nog niet
Selinay,en toen uhh :,en toen uhh
Selinay,kregen we onze bandjes niet om naar binnen te gaan enzo,kregen we onze bandjes niet om naar binnen te gaan enzo
Selinay,dus toen zeiden ze tegen ons ja jullie mogen alleen buiten want binnen kunnen jullie corona verspreiden enzo,dus toen zeiden ze tegen ons ja jullie mogen alleen buiten want binnen kunnen jullie corona verspreiden enzo
Selinay,en toen gingen we buiten en hadden we van die bandjes gevonden ((laughs)),en toen gingen we buiten en hadden we van die bandjes gevonden
Selinay,ja ((laughs)),ja
Selinay,en toen hadden we die om ons pols heen gedaan,en toen hadden we die om ons pols heen gedaan
Selinay,maar we hadden echt lang erover gedaan,maar we hadden echt lang erover gedaan
Selinay,ja ik heb tape in mijn achterbak en dan kunnen we die gebruiken [ ],ja ik heb tape in mijn achterbak en dan kunnen we die gebruiken
